"","Date","Buenos.Aires_cases","Capital.Federal_cases","Catamarca_cases","Chaco_cases","Chubut_cases","Cordoba_cases","Corrientes_cases","Entre.Rios_cases","Formosa_cases","Jujuy_cases","La.Pampa_cases","La.Rioja_cases","Mendoza_cases","Misiones_cases","Neuquen_cases","Rio.Negro_cases","Salta_cases","San.Juan_cases","San.Luis_cases","Santa.Cruz_cases","Santa.Fe_cases","Santiago.del.Estero_cases","Tierra.del.Fuego_cases","Tucuman_cases","Buenos.Aires_deaths","Capital.Federal_deaths","Catamarca_deaths","Chaco_deaths","Chubut_deaths","Cordoba_deaths","Corrientes_deaths","Entre.Rios_deaths","Formosa_deaths","Jujuy_deaths","La.Pampa_deaths","La.Rioja_deaths","Mendoza_deaths","Misiones_deaths","Neuquen_deaths","Rio.Negro_deaths","Salta_deaths","San.Juan_deaths","San.Luis_deaths","Santa.Cruz_deaths","Santa.Fe_deaths","Santiago.del.Estero_deaths","Tierra.del.Fuego_deaths","Tucuman_deaths","Buenos.Aires_recovered","Capital.Federal_recovered","Catamarca_recovered","Chaco_recovered","Chubut_recovered","Cordoba_recovered","Corrientes_recovered","Entre.Rios_recovered","Formosa_recovered","Jujuy_recovered","La.Pampa_recovered","La.Rioja_recovered","Mendoza_recovered","Misiones_recovered","Neuquen_recovered","Rio.Negro_recovered","Salta_recovered","San.Juan_recovered","San.Luis_recovered","Santa.Cruz_recovered","Santa.Fe_recovered","Santiago.del.Estero_recovered","Tierra.del.Fuego_recovered","Tucuman_recovered","update"
"1",2020-03-03,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"2",2020-03-04,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"3",2020-03-05,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"4",2020-03-06,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"5",2020-03-07,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"6",2020-03-08,1,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"7",2020-03-09,1,11,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
"8",2020-03-10,2,12,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
"9",2020-03-11,3,13,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
"10",2020-03-12,7,15,0,4,0,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
