"argentina_ID","date","update","cases","new_cases","deaths","new_deaths","recovered","new_recovered","active_cases","last_update"
"Ciudad de Buenos Aires","2020-03-03",1,1,1,0,0,0,0,1,NA
"Ciudad de Buenos Aires","2020-03-04",2,1,0,0,0,0,0,1,NA
"Ciudad de Buenos Aires","2020-03-05",3,2,1,0,0,0,0,2,NA
"Ciudad de Buenos Aires","2020-03-06",4,6,4,0,0,0,0,6,NA
"Córdoba","2020-03-06",4,1,1,0,0,0,0,1,NA
"Ciudad de Buenos Aires","2020-03-07",5,8,2,1,1,0,0,7,NA
"Córdoba","2020-03-07",5,1,0,0,0,0,0,1,NA
"Ciudad de Buenos Aires","2020-03-08",6,10,2,1,0,0,0,9,NA
"Buenos Aires","2020-03-08",6,1,1,0,0,0,0,1,NA
"Córdoba","2020-03-08",6,1,0,0,0,0,0,1,NA
"Ciudad de Buenos Aires","2020-03-09",7,11,1,1,0,0,0,10,NA
"Chaco","2020-03-09",7,2,2,0,0,0,0,2,NA
"Buenos Aires","2020-03-09",7,1,0,0,0,0,0,1,NA
"Córdoba","2020-03-09",7,1,0,0,0,0,0,1,NA
"Río Negro","2020-03-09",7,1,1,0,0,0,0,1,NA
"San Luis","2020-03-09",7,1,1,0,0,0,0,1,NA
"Ciudad de Buenos Aires","2020-03-10",8,12,1,1,0,0,0,11,NA
"Buenos Aires","2020-03-10",8,2,1,0,0,0,0,2,NA
"Chaco","2020-03-10",8,2,0,0,0,0,0,2,NA
"Córdoba","2020-03-10",8,1,0,0,0,0,0,1,NA
"Río Negro","2020-03-10",8,1,0,0,0,0,0,1,NA
"San Luis","2020-03-10",8,1,0,0,0,0,0,1,NA
"Ciudad de Buenos Aires","2020-03-11",9,13,1,1,0,0,0,12,NA
"Buenos Aires","2020-03-11",9,3,1,0,0,0,0,3,NA
"Chaco","2020-03-11",9,2,0,0,0,0,0,2,NA
"Córdoba","2020-03-11",9,1,0,0,0,0,0,1,NA
"Río Negro","2020-03-11",9,1,0,0,0,0,0,1,NA
"San Luis","2020-03-11",9,1,0,0,0,0,0,1,NA
"Ciudad de Buenos Aires","2020-03-12",10,15,2,1,0,0,0,14,NA
"Buenos Aires","2020-03-12",10,7,4,0,0,0,0,7,NA
"Chaco","2020-03-12",10,4,2,0,0,0,0,4,NA
"Córdoba","2020-03-12",10,3,2,0,0,0,0,3,NA
"Río Negro","2020-03-12",10,1,0,0,0,0,0,1,NA
"San Luis","2020-03-12",10,1,0,0,0,0,0,1,NA
"Ciudad de Buenos Aires","2020-03-13",11,17,2,1,0,0,0,16,NA
"Buenos Aires","2020-03-13",11,8,1,0,0,0,0,8,NA
"Chaco","2020-03-13",11,4,0,1,1,0,0,3,NA
"Córdoba","2020-03-13",11,3,0,0,0,0,0,3,NA
"Río Negro","2020-03-13",11,1,0,0,0,0,0,1,NA
"San Luis","2020-03-13",11,1,0,0,0,0,0,1,NA
"Ciudad de Buenos Aires","2020-03-14",12,23,6,1,0,0,0,22,NA
"Buenos Aires","2020-03-14",12,10,2,0,0,0,0,10,NA
"Chaco","2020-03-14",12,6,2,1,0,0,0,5,NA
"Córdoba","2020-03-14",12,3,0,0,0,0,0,3,NA
"Río Negro","2020-03-14",12,1,0,0,0,0,0,1,NA
"San Luis","2020-03-14",12,1,0,0,0,0,0,1,NA
"Santa Fe","2020-03-14",12,1,1,0,0,0,0,1,NA
"Ciudad de Buenos Aires","2020-03-15",13,29,6,1,0,0,0,28,NA
"Buenos Aires","2020-03-15",13,11,1,0,0,0,0,11,NA
"Chaco","2020-03-15",13,8,2,1,0,0,0,7,NA
"Córdoba","2020-03-15",13,3,0,0,0,0,0,3,NA
"Tierra del Fuego","2020-03-15",13,2,2,0,0,0,0,2,NA
"Río Negro","2020-03-15",13,1,0,0,0,0,0,1,NA
"San Luis","2020-03-15",13,1,0,0,0,0,0,1,NA
"Santa Fe","2020-03-15",13,1,0,0,0,0,0,1,NA
"Ciudad de Buenos Aires","2020-03-16",14,34,5,1,0,0,0,33,NA
"Buenos Aires","2020-03-16",14,12,1,0,0,0,0,12,NA
"Chaco","2020-03-16",14,11,3,1,0,0,0,10,NA
"Córdoba","2020-03-16",14,3,0,0,0,0,0,3,NA
"Tierra del Fuego","2020-03-16",14,2,0,0,0,0,0,2,NA
"Río Negro","2020-03-16",14,1,0,0,0,0,0,1,NA
"San Luis","2020-03-16",14,1,0,0,0,0,0,1,NA
"Santa Fe","2020-03-16",14,1,0,0,0,0,0,1,NA
"Ciudad de Buenos Aires","2020-03-17",15,38,4,1,0,0,0,37,NA
"Buenos Aires","2020-03-17",15,14,2,0,0,0,0,14,NA
"Chaco","2020-03-17",15,12,1,1,0,0,0,11,NA
"Córdoba","2020-03-17",15,4,1,0,0,0,0,4,NA
"Río Negro","2020-03-17",15,2,1,0,0,0,0,2,NA
"Tierra del Fuego","2020-03-17",15,2,0,0,0,0,0,2,NA
"Entre Ríos","2020-03-17",15,1,1,0,0,0,0,1,NA
"Jujuy","2020-03-17",15,1,1,0,0,0,0,1,NA
"Salta","2020-03-17",15,1,1,0,0,0,0,1,NA
"San Luis","2020-03-17",15,1,0,0,0,0,0,1,NA
"Santa Cruz","2020-03-17",15,1,1,0,0,0,0,1,NA
"Santa Fe","2020-03-17",15,1,0,0,0,0,0,1,NA
"Ciudad de Buenos Aires","2020-03-18",16,48,10,2,1,18,18,28,NA
"Buenos Aires","2020-03-18",16,20,6,0,0,0,0,20,NA
"Chaco","2020-03-18",16,13,1,1,0,0,0,12,NA
"Córdoba","2020-03-18",16,5,1,0,0,0,0,5,NA
"Entre Ríos","2020-03-18",16,2,1,0,0,0,0,2,NA
"Río Negro","2020-03-18",16,2,0,0,0,0,0,2,NA
"Tierra del Fuego","2020-03-18",16,2,0,0,0,0,0,2,NA
"Jujuy","2020-03-18",16,1,0,0,0,0,0,1,NA
"Salta","2020-03-18",16,1,0,0,0,0,0,1,NA
"San Luis","2020-03-18",16,1,0,0,0,0,0,1,NA
"Santa Cruz","2020-03-18",16,1,0,0,0,0,0,1,NA
"Santa Fe","2020-03-18",16,1,0,0,0,0,0,1,NA
"Ciudad de Buenos Aires","2020-03-19",17,56,8,2,0,23,5,31,NA
"Buenos Aires","2020-03-19",17,35,15,0,0,0,0,35,NA
"Chaco","2020-03-19",17,15,2,1,0,0,0,14,NA
"Córdoba","2020-03-19",17,8,3,0,0,0,0,8,NA
"Río Negro","2020-03-19",17,3,1,0,0,0,0,3,NA
"Entre Ríos","2020-03-19",17,2,0,0,0,0,0,2,NA
"Santa Fe","2020-03-19",17,2,1,0,0,0,0,2,NA
"Tierra del Fuego","2020-03-19",17,2,0,0,0,0,0,2,NA
"Jujuy","2020-03-19",17,1,0,0,0,0,0,1,NA
"Salta","2020-03-19",17,1,0,0,0,0,0,1,NA
"San Luis","2020-03-19",17,1,0,0,0,0,0,1,NA
"Santa Cruz","2020-03-19",17,1,0,0,0,0,0,1,NA
"Tucumán","2020-03-19",17,1,1,0,0,0,0,1,NA
"Ciudad de Buenos Aires","2020-03-20",18,65,9,2,0,27,4,36,NA
"Buenos Aires","2020-03-20",18,44,9,0,0,0,0,44,NA
"Chaco","2020-03-20",18,16,1,1,0,0,0,15,NA
