"","continent_level","date","cases","new_cases","deaths","new_deaths","days_since_case100","days_since_case10","days_since_death10","days_since_death1","continent"
"1","Africa",2020-02-14,1,1,0,0,0,0,0,0,"Africa"
"2","Africa",2020-02-15,1,0,0,0,0,0,0,0,"Africa"
"3","Africa",2020-02-16,1,0,0,0,0,0,0,0,"Africa"
"4","Africa",2020-02-17,1,0,0,0,0,0,0,0,"Africa"
"5","Africa",2020-02-18,1,0,0,0,0,0,0,0,"Africa"
"6","Africa",2020-02-19,1,0,0,0,0,0,0,0,"Africa"
"7","Africa",2020-02-20,1,0,0,0,0,0,0,0,"Africa"
"8","Africa",2020-02-21,1,0,0,0,0,0,0,0,"Africa"
"9","Africa",2020-02-22,1,0,0,0,0,0,0,0,"Africa"
"10","Africa",2020-02-23,1,0,0,0,0,0,0,0,"Africa"
"11","Africa",2020-02-24,1,0,0,0,0,0,0,0,"Africa"
"12","Africa",2020-02-25,2,1,0,0,0,0,0,0,"Africa"
"13","Africa",2020-02-26,2,0,0,0,0,0,0,0,"Africa"
"14","Africa",2020-02-27,2,0,0,0,0,0,0,0,"Africa"
"15","Africa",2020-02-28,3,1,0,0,0,0,0,0,"Africa"
"16","Africa",2020-02-29,3,0,0,0,0,0,0,0,"Africa"
"17","Africa",2020-03-01,4,1,0,0,0,0,0,0,"Africa"
"18","Africa",2020-03-02,8,4,0,0,0,0,0,0,"Africa"
"19","Africa",2020-03-03,11,3,0,0,0,1,0,0,"Africa"
"20","Africa",2020-03-04,21,10,0,0,0,2,0,0,"Africa"
"21","Africa",2020-03-05,24,3,0,0,0,3,0,0,"Africa"
"22","Africa",2020-03-06,43,19,0,0,0,4,0,0,"Africa"
"23","Africa",2020-03-07,43,0,0,0,0,5,0,0,"Africa"
"24","Africa",2020-03-08,83,40,1,1,0,6,0,1,"Africa"
"25","Africa",2020-03-09,91,8,1,0,0,7,0,2,"Africa"
"26","Africa",2020-03-10,104,13,2,1,1,8,0,3,"Africa"
"27","Africa",2020-03-11,118,14,2,0,2,9,0,4,"Africa"
"28","Africa",2020-03-12,134,16,3,1,3,10,0,5,"Africa"
"29","Africa",2020-03-13,177,43,6,3,4,11,0,6,"Africa"
"30","Africa",2020-03-14,254,77,7,1,5,12,0,7,"Africa"
"31","Africa",2020-03-15,313,59,8,1,6,13,0,8,"Africa"
"32","Africa",2020-03-16,400,87,8,0,7,14,0,9,"Africa"
"33","Africa",2020-03-17,484,84,11,3,8,15,1,10,"Africa"
"34","Africa",2020-03-18,601,117,17,6,9,16,2,11,"Africa"
"35","Africa",2020-03-19,781,180,20,3,10,17,3,12,"Africa"
"36","Africa",2020-03-20,969,188,26,6,11,18,4,13,"Africa"
"37","Africa",2020-03-21,1172,203,36,10,12,19,5,14,"Africa"
"38","Africa",2020-03-22,1437,265,48,12,13,20,6,15,"Africa"
"39","Africa",2020-03-23,1818,381,57,9,14,21,7,16,"Africa"
"40","Africa",2020-03-24,2250,432,64,7,15,22,8,17,"Africa"
"41","Africa",2020-03-25,2773,523,73,9,16,23,9,18,"Africa"
"42","Africa",2020-03-26,3326,553,91,18,17,24,10,19,"Africa"
"43","Africa",2020-03-27,3885,559,115,24,18,25,11,20,"Africa"
"44","Africa",2020-03-28,4225,340,134,19,19,26,12,21,"Africa"
"45","Africa",2020-03-29,4786,561,152,18,20,27,13,22,"Africa"
"46","Africa",2020-03-30,5196,410,173,21,21,28,14,23,"Africa"
"47","Africa",2020-03-31,5781,585,200,27,22,29,15,24,"Africa"
"48","Africa",2020-04-01,6380,599,234,34,23,30,16,25,"Africa"
"49","Africa",2020-04-02,7032,652,287,53,24,31,17,26,"Africa"
