"","country","date","update","cases","new_cases","deaths","new_deaths","recovered","new_recovered","active_cases","per100k","newper100k","activeper100k","per1M","newper1M","activeper1M","days_since_case100","days_since_case10","days_since_death10","days_since_death1"
"42","Afghanistan",2020-04-08,78,444,21,14,0,29,11,401,1.1,0.1,1,11.4,0.5,10.3,13,26,3,18
"63","Albania",2020-04-08,78,400,17,22,0,154,23,224,13.9,0.6,7.8,139,5.9,77.8,17,30,12,29
"80","Algeria",2020-04-08,78,1572,104,205,12,237,124,1130,3.6,0.2,2.6,35.8,2.4,25.8,19,36,20,28
"133","Andorra",2020-04-08,78,564,19,23,1,52,13,489,732.5,24.7,635.1,7324.7,246.8,6350.6,18,23,9,18
"165","Angola",2020-04-08,78,19,2,2,0,2,0,15,0.1,0,0,0.6,0.1,0.5,0,5,0,11
"192","Antigua and Barbuda",2020-04-08,78,19,0,2,1,0,0,17,19.4,0,17.3,193.9,0,173.5,0,6,0,2
"215","Argentina",2020-04-08,78,1715,87,63,7,358,20,1294,3.8,0.2,2.9,37.9,1.9,28.6,20,32,13,32
"257","Armenia",2020-04-08,78,881,28,9,1,114,27,758,29.7,0.9,25.6,297.3,9.4,255.8,21,26,0,14
"300","Australia",2020-04-08,78,6010,115,50,5,1080,0,4880,23.6,0.5,19.1,235.7,4.5,191.4,30,68,14,39
"399","Austria",2020-04-08,78,12942,303,273,30,4512,466,8157,143.7,3.4,90.6,1437,33.6,905.7,32,39,18,28
"410","Azerbaijan",2020-04-08,78,822,105,8,0,63,19,751,8.1,1,7.4,81.1,10.4,74.1,14,30,0,27
"477","Bahrain",2020-04-08,78,823,12,5,0,477,19,341,48.4,0.7,20,483.5,7.1,200.4,30,44,0,24
"487","Bangladesh",2020-04-08,78,218,54,20,3,33,0,165,0.1,0,0.1,1.3,0.3,1,3,23,3,22
"528","Barbados",2020-04-08,78,63,0,3,0,8,2,52,22,0,18.1,219.5,0,181.2,0,18,0,4
"563","Belarus",2020-04-08,78,1066,205,13,0,77,23,976,11.3,2.2,10.3,112.8,21.7,103.3,10,28,3,9
"602","Belgium",2020-04-08,78,23403,1209,2240,205,4681,524,16482,201.9,10.4,142.2,2019.2,104.3,1422.1,34,37,23,29
"652","Belize",2020-04-08,78,8,1,1,0,0,0,7,2,0.3,1.8,20.1,2.5,17.6,0,0,0,3
"672","Benin",2020-04-08,78,26,0,1,0,5,0,20,0.2,0,0.2,2.1,0,1.6,0,8,0,3
"717","Bhutan",2020-04-08,78,5,0,0,0,2,0,3,0.6,0,0.4,6.5,0,3.9,0,0,0,0
"732","Bolivia",2020-04-08,78,210,16,15,1,2,0,193,1.8,0.1,1.7,18,1.4,16.5,9,26,5,11
"767","Bosnia and Herzegovina",2020-04-08,78,804,40,34,1,79,11,691,24.5,1.2,21.1,245,12.2,210.6,18,28,10,19
"789","Botswana",2020-04-08,78,6,0,1,0,0,0,5,0.3,0,0.2,2.6,0,2.1,0,0,0,9
"796","Brazil",2020-04-08,78,16170,2136,819,133,127,0,15224,7.6,1,7.2,76.1,10,71.6,27,34,20,23
"866","Brunei",2020-04-08,78,135,0,1,0,91,6,43,30.9,0,9.8,308.9,0,98.4,16,29,0,12
"886","Bulgaria",2020-04-08,78,593,16,24,1,42,0,527,8.5,0.2,7.6,85.3,2.3,75.8,20,27,8,29
"921","Burkina Faso",2020-04-08,78,414,30,23,4,134,7,257,2,0.1,1.2,19.8,1.4,12.3,16,24,12,22
"937","Burma",2020-04-08,78,22,0,3,2,0,0,19,0,0,0,0.4,0,0.3,0,11,0,9
"943","Burundi",2020-04-08,78,3,0,0,0,0,0,3,0,0,0,0.3,0,0.3,0,0,0,0
"959","Cambodia",2020-04-08,78,117,2,0,0,63,5,54,0.7,0,0.3,7,0.1,3.2,11,23,0,0
"1056","Cameroon",2020-04-08,78,730,72,10,1,60,17,660,2.7,0.3,2.5,27.5,2.7,24.9,11,23,1,15
"1076","Canada",2020-04-08,78,19141,1269,407,32,4154,363,14580,50.7,3.4,38.6,507.2,33.6,386.3,29,45,20,31
"1144","Cape Verde",2020-04-08,78,7,0,1,0,1,0,5,1.3,0,0.9,12.6,0,9,0,0,0,16
"1171","Central African Republic",2020-04-08,78,8,0,0,0,0,0,8,0.2,0,0.2,1.7,0,1.7,0,0,0,0
"1178","Chad",2020-04-08,78,10,0,0,0,2,0,8,0.1,0,0,0.6,0,0.5,0,2,0,0
"1222","Chile",2020-04-08,78,5546,430,48,5,1115,217,4383,29,2.2,22.9,290.1,22.5,229.3,24,30,9,18
"1243","Colombia",2020-04-08,78,2054,274,54,4,123,23,1877,4,0.5,3.7,40.4,5.4,36.9,21,27,11,18
"1283","Costa Rica",2020-04-08,78,502,19,3,1,29,5,470,9.9,0.4,9.2,98.5,3.7,92.3,19,29,0,21
"1313","Cote d'Ivoire",2020-04-08,78,384,35,3,0,48,7,333,1.5,0.1,1.3,14.6,1.3,12.6,13,19,0,11
"1335","Croatia",2020-04-08,78,1343,61,19,1,179,12,1145,32.7,1.5,27.9,327.2,14.9,278.9,21,36,5,21
"1395","Cuba",2020-04-08,78,457,61,12,1,27,0,418,4,0.5,3.7,40.3,5.4,36.9,12,21,2,22
"1433","Cyprus",2020-04-08,78,526,32,9,0,52,5,465,43.6,2.7,38.5,435.8,26.5,385.3,17,27,0,18
"1444","Czech Republic",2020-04-08,78,5312,295,99,11,233,61,4980,49.6,2.8,46.5,496,27.5,465,27,35,12,18
"1497","Democratic Republic of the Congo",2020-04-08,78,180,0,18,0,9,0,153,0.2,0,0.2,2,0,1.7,8,21,7,19
"1519","Denmark",2020-04-08,78,5597,331,218,15,1763,142,3616,96.6,5.7,62.4,966.3,57.1,624.3,30,36,19,26
"1607","Diamond Princess Cruise Ship",2020-04-08,78,712,0,11,0,619,0,82,NA,NA,NA,NA,NA,NA,59,62,16,49
"1609","Djibouti",2020-04-08,78,135,45,0,0,25,16,110,13.7,4.6,11.1,136.6,45.5,111.3,1,15,0,0
"1630","Dominica",2020-04-08,78,15,0,0,0,1,0,14,20.8,0,19.4,208.3,0,194.4,0,14,0,0
"1665","Dominican Republic",2020-04-08,78,2111,155,108,10,50,14,1953,19.5,1.4,18,194.6,14.3,180,19,26,15,23
"1689","Ecuador",2020-04-08,78,4450,703,242,51,140,40,4068,25.2,4,23.1,252.2,39.8,230.6,22,36,18,26
"1747","Egypt",2020-04-08,78,1560,110,103,9,305,29,1152,1.5,0.1,1.1,15.2,1.1,11.3,26,34,19,32
"1789","El Salvador",2020-04-08,78,93,15,5,1,9,4,79,1.4,0.2,1.2,14.3,2.3,12.2,0,14,0,9
"1818","Equatorial Guinea",2020-04-08,78,18,2,0,0,3,0,15,1.3,0.1,1.1,12.8,1.4,10.7,0,14,0,0
"1832","Eritrea",2020-04-08,78,33,2,0,0,0,0,33,0.9,0.1,0.9,9.3,0.6,9.3,0,11,0,0
"1871","Estonia",2020-04-08,78,1185,36,24,3,72,3,1089,89.3,2.7,82.1,893,27.1,820.6,26,34,7,15
"1900","Eswatini",2020-04-08,78,12,2,0,0,7,3,5,1,0.2,0.4,10.3,1.7,4.3,0,3,0,0
"1928","Ethiopia",2020-04-08,78,55,3,2,0,4,0,49,0,0,0,0.5,0,0.4,0,18,0,4
"1942","Fiji",2020-04-08,78,15,0,0,0,0,0,15,1.7,0,1.7,16.7,0,16.7,0,5,0,0
"1975","Finland",2020-04-08,78,2487,179,40,6,300,0,2147,44.9,3.2,38.7,448.8,32.3,387.5,27,35,11,19
"2081","France",2020-04-08,78,113959,3894,10887,544,21452,1929,81620,174.6,6,125,1745.9,59.7,1250.4,40,61,33,54
"2127","Gabon",2020-04-08,78,34,4,1,0,1,0,32,1.5,0.2,1.4,15.3,1.8,14.4,0,9,0,20
"2149","Georgia",2020-04-08,78,211,15,3,0,50,4,158,5.3,0.4,4,52.9,3.8,39.6,10,32,0,5
"2217","Germany",2020-04-08,78,113296,5633,2349,333,46300,10219,64647,135.2,6.7,77.2,1352.2,67.2,771.6,39,67,25,31
"2258","Ghana",2020-04-08,78,313,26,6,1,34,3,273,1,0.1,0.9,10.1,0.8,8.8,14,21,0,19
"2307","Greece",2020-04-08,78,1884,52,83,2,269,0,1532,18.1,0.5,14.7,180.8,5,147,27,35,19,29
"2335","Grenada",2020-04-08,78,12,0,0,0,0,0,12,10.6,0,10.6,106.2,0,106.2,0,7,0,0
