"","argentina_ID","date","update","cases","new_cases","deaths","new_deaths","recovered","new_recovered","active_cases","per100k","newper100k","activeper100k","per1M","newper1M","activeper1M","days_since_case100","days_since_case10","days_since_death10","days_since_death1"
"14","Buenos Aires",2020-04-08,37,460,17,24,1,0,0,436,2.6,0.1,2.5,26.2,1,24.9,16,26,10,19
"58","Chaco",2020-04-08,37,138,15,7,0,0,0,131,11.5,1.2,10.9,114.6,12.5,108.8,6,24,0,27
"99","Ciudad de Buenos Aires",2020-04-08,37,498,18,17,2,338,0,143,16.2,0.6,4.6,161.9,5.9,46.5,18,32,3,33
"126","Córdoba",2020-04-08,37,151,1,2,0,0,0,149,4,0,4,40.2,0.3,39.6,8,20,0,9
"144","Corrientes",2020-04-08,37,24,0,0,0,0,0,24,2.1,0,2.1,21.4,0,21.4,0,10,0,0
"172","Entre Ríos",2020-04-08,37,20,0,0,0,0,0,20,1.4,0,1.4,14.4,0,14.4,0,13,0,0
"201","Jujuy",2020-04-08,37,5,0,0,0,0,0,5,0.6,0,0.6,6.5,0,6.5,0,0,0,0
"213","La Pampa",2020-04-08,37,4,1,0,0,0,0,4,1.1,0.3,1.1,11.2,2.8,11.2,0,0,0,0
"229","La Rioja",2020-04-08,37,9,0,1,0,0,0,8,2.3,0,2,22.9,0,20.3,0,0,0,9
"244","Mendoza",2020-04-08,37,38,6,5,0,0,0,33,1.9,0.3,1.7,19.1,3,16.6,0,11,0,13
"260","Misiones",2020-04-08,37,3,0,0,0,0,0,3,0.2,0,0.2,2.4,0,2.4,0,0,0,0
"269","Neuquén",2020-04-08,37,70,17,4,1,0,0,66,10.5,2.6,9.9,105.4,25.6,99.4,0,13,0,13
"295","Río Negro",2020-04-08,37,22,1,1,0,0,0,21,2.9,0.1,2.8,29.4,1.3,28.1,0,6,0,13
"334","Salta",2020-04-08,37,3,0,0,0,0,0,3,0.2,0,0.2,2.1,0,2.1,0,0,0,0
"351","San Juan",2020-04-08,37,1,0,0,0,0,0,1,0.1,0,0.1,1.3,0,1.3,0,0,0,0
"360","San Luis",2020-04-08,37,11,0,0,0,0,0,11,2.2,0,2.2,21.6,0,21.6,0,6,0,0
"403","Santa Cruz",2020-04-08,37,31,0,0,0,0,0,31,8.5,0,8.5,84.8,0,84.8,0,8,0,0
"412","Santa Fe",2020-04-08,37,189,2,1,0,0,0,188,5.3,0.1,5.3,53.4,0.6,53.2,10,17,0,8
"437","Santiago del Estero",2020-04-08,37,9,0,0,0,0,0,9,0.9,0,0.9,9.2,0,9.2,0,0,0,0
"471","Tierra del Fuego",2020-04-08,37,81,2,0,0,0,0,81,46.7,1.2,46.7,467,11.5,467,0,16,0,0
"477","Tucumán",2020-04-08,37,28,0,3,1,0,0,25,1.7,0,1.5,16.5,0,14.8,0,13,0,10
