"provincia","year","total","varones","mujeres"
"Ciudad de Buenos Aires",2010,"3028481","1405566","1622915"
"Ciudad de Buenos Aires",2011,"3033639","1409835","1623804"
"Ciudad de Buenos Aires",2012,"3038860","1414105","1624755"
"Ciudad de Buenos Aires",2013,"3044076","1418339","1625737"
"Ciudad de Buenos Aires",2014,"3049229","1422507","1626722"
"Ciudad de Buenos Aires",2015,"3054267","1426582","1627685"
"Ciudad de Buenos Aires",2016,"3059122","1430531","1628591"
"Ciudad de Buenos Aires",2017,"3063728","1434323","1629405"
"Ciudad de Buenos Aires",2018,"3068043","1437936","1630107"
"Ciudad de Buenos Aires",2019,"3072029","1441350","1630679"
"Ciudad de Buenos Aires",2020,"3075646","1444545","1631101"
"Ciudad de Buenos Aires",2021,"3078836","1447495","1631341"
"Ciudad de Buenos Aires",2022,"3081550","1450179","1631371"
"Ciudad de Buenos Aires",2023,"3083770","1452588","1631182"
"Ciudad de Buenos Aires",2024,"3085483","1454716","1630767"
"Ciudad de Buenos Aires",2025,"3086680","1456560","1630120"
"Ciudad de Buenos Aires",2026,"3087338","1458111","1629227"
"Ciudad de Buenos Aires",2027,"3087434","1459359","1628075"
"Ciudad de Buenos Aires",2028,"3086973","1460309","1626664"
"Ciudad de Buenos Aires",2029,"3085971","1460970","1625001"
"Ciudad de Buenos Aires",2030,"3084450","1461355","1623095"
"Ciudad de Buenos Aires",2031,"3082415","1461471","1620944"
"Ciudad de Buenos Aires",2032,"3079869","1461324","1618545"
"Ciudad de Buenos Aires",2033,"3076845","1460932","1615913"
"Ciudad de Buenos Aires",2034,"3073375","1460312","1613063"
"Ciudad de Buenos Aires",2035,"3069488","1459479","1610009"
"Ciudad de Buenos Aires",2036,"3065183","1458434","1606749"
"Ciudad de Buenos Aires",2037,"3060454","1457173","1603281"
"Ciudad de Buenos Aires",2038,"3055302","1455695","1599607"
"Ciudad de Buenos Aires",2039,"3049723","1453997","1595726"
"Ciudad de Buenos Aires",2040,"3043704","1452069","1591635"
"Buenos Aires",2010,"15716942","7678592","8038350"
"Buenos Aires",2011,"15909607","7776525","8133082"
"Buenos Aires",2012,"16100618","7873684","8226934"
"Buenos Aires",2013,"16289599","7969864","8319735"
"Buenos Aires",2014,"16476149","8064849","8411300"
"Buenos Aires",2015,"16659931","8158456","8501475"
"Buenos Aires",2016,"16841135","8250777","8590358"
"Buenos Aires",2017,"17020012","8341933","8678079"
"Buenos Aires",2018,"17196396","8431831","8764565"
"Buenos Aires",2019,"17370144","8520388","8849756"
"Buenos Aires",2020,"17541141","8607537","8933604"
"Buenos Aires",2021,"17709598","8693385","9016213"
"Buenos Aires",2022,"17875743","8778048","9097695"
"Buenos Aires",2023,"18039509","8861488","9178021"
"Buenos Aires",2024,"18200851","8943682","9257169"
"Buenos Aires",2025,"18359753","9024621","9335132"
"Buenos Aires",2026,"18516459","9104437","9412022"
"Buenos Aires",2027,"18671214","9183262","9487952"
"Buenos Aires",2028,"18824007","9261094","9562913"
"Buenos Aires",2029,"18974810","9337923","9636887"
"Buenos Aires",2030,"19123592","9413737","9709855"
"Buenos Aires",2031,"19270454","9488592","9781862"
"Buenos Aires",2032,"19415494","9562541","9852953"
"Buenos Aires",2033,"19558673","9635567","9923106"
"Buenos Aires",2034,"19699931","9707643","9992288"
"Buenos Aires",2035,"19839191","9778732","10060459"
"Buenos Aires",2036,"19976410","9848813","10127597"
"Buenos Aires",2037,"20111548","9917868","10193680"
"Buenos Aires",2038,"20244529","9985856","10258673"
"Buenos Aires",2039,"20375264","10052731","10322533"
"Buenos Aires",2040,"20503653","10118438","10385215"
"Catamarca",2010,"377676","188677","188999"
"Catamarca",2011,"381548","190654","190894"
"Catamarca",2012,"385408","192625","192783"
"Catamarca",2013,"389256","194590","194666"
"Catamarca",2014,"393088","196547","196541"
"Catamarca",2015,"396895","198490","198405"
"Catamarca",2016,"400678","200420","200258"
"Catamarca",2017,"404433","202334","202099"
"Catamarca",2018,"408152","204228","203924"
"Catamarca",2019,"411824","206096","205728"
"Catamarca",2020,"415438","207933","207505"
